地域クラブ名,地域クラブ名（フリガナ）,種目・分野,活動エリア（区）,活動場所,活動日時,募集対象・性別,費用（月会費、その他費用）,活動方針等,中体連・中文連大会参加の有無,ホームページ・SNS等（任意）,代表者氏名（任意）,連絡先（任意）,メール（任意）,入会方法（いずれか選択）,備考,
南曽根VBC,ミナミソネブイビ－シー,バレーボール,小倉南区,南曽根中学校体育館,,中学校女子,"月会費1,000円、保険料年額800円、その他個人で使用する用具代など",,,,,,,,
永犬丸BBC,エイノマルビービーシー,軟式野球,八幡西区,永犬丸中学校グラウンド,,中学生男女,"月額　1,000円、その他必要経費（保険料など）を実費徴収",,,,,,,,
Clays,クレイズ,バレーボール,八幡西区,引野中学校他,,中学生男子,500円/月,,,,,,,,
KOYANOSE Wind Ensemble,コヤノセ ウインド アンサンブル,吹奏楽、マーチング,八幡西区,木屋瀬中学校　体育館、武道場など,,北九州市内の中学生(男女),"会費は1か月1,000円。定期演奏会、コンクール等別途費用を徴収する。",,,,,,,,
WAKAMATSU　SUN´S,ワカマツサンズ,バスケットボール,若松区,若松中学校体育館,,中学生女子,月会費 1000円　保険料年額 800円　その他個人で使用する用具代など,,,,,,,,
沖田RUN＋,オキタランプラス,陸上（短距離）,八幡西区,沖田中学校グラウンド、本城陸上競技場,,中学生男女,令和8年度は会費徴収無し,,,,,,,,
田原FC,タハラエフシー,サッカー,小倉南区,田原中学校グラウンド,,中学生の男女,"月会費3,000円、選手登録料年額1,500円、スポーツ保険料800円",,,,,,,,
飛幡吹奏楽クラブ,トビハタスイソウガククラブ,吹奏楽,戸畑区,飛幡中学校　武道場,,中学生の男女（主に男女混合で練習します）,"月会費 1,000円、保険料年額 800円、その他個人で使用する用具代など",,,,,,,,
SHIEI　FIGHTERS,シエイ　ファイターズ,バスケットボール,小倉北区,思永中学校体育館,,中学生男女,月1000円,,,,,,,,
SONE　バレーボールクラブ,エスワン　バレーボールクラブ,バレーボール,小倉南区,曽根中学校　体育館,,参加を希望する中学1年生から3年生の女子生徒,月500円　スポーツ保険年間800円,,,,,,,,
南曽根・曽根卓球クラブ,ミナミソネ・ソネタッキュウクラブ,卓球,小倉南区,南曽根中学体育館,,中学１年から３年の生徒,3000円,,,,,,,,
曽根フューチャーズ,ソネフューチャーズ,ソフトボール,小倉南区,曽根中学校グラウンド,,中学生女子,会費2000円/月（団体保険料1000円）,,,,,,,,
RYUSEI,リュウセイ,バレーボール,門司区,柳西中学校,,中学生男子　中学生女子,月500円,,,,,,,,
