No.,全体,生徒の皆さん向け,保護者の方向け,学校向け,クラブ立ち上げ希望の方向け,カテゴリ,質問,回答
1,●,,●,●,,部活動改革,部活動の地域展開等の目的は何ですか。,"近年の少子化に伴い、１つの学校の部活動では、チームスポーツなどが十分に実施できないような状況が生じています。また、学校部活動の運営を学校の教員に頼ることも活動の持続可能性の点で大きな課題となっています。
このような状況下で、「学校頼みの活動から、まち全体で支える活動へ」転換し、将来にわたって生徒がスポーツ・文化芸術活動に継続して親しみ、なりたい自分にチャレンジする機会を確保・充実するため、まちの様々な人の協力も受けながら、いわゆる部活動の地域展開、地域クラブ活動の推進等の取組を進めています。"
2,●,,●,●,,部活動改革,「まち全体で支える活動へ」転換するメリットは何ですか。,生徒の活動機会の確保に加えて、多種多様な体験の実現や、生徒がこれまでの学校部活動ではできなかった活動に参加できたり、学校や世代を超えた交流が生まれたり、良質な指導等を通じた活動の質の向上、地域社会の活性化等につながったりすることが期待されます。
3,●,,●,●,,部活動改革,今回の改革によって「学校部活動」はなくなるのですか。,休日の学校部活動については、令和９年９月から全面的に地域クラブ活動へ展開します。一方、平日については当面の間、これまでの学校部活動を継続するため、今回の改革によって学校部活動がなくなるわけではありません。なお、平日の学校部活動の地域展開については、今後、国や他都市の動向、本市の状況等を踏まえつつ、必要に応じて検討していく予定です。
4,●,,●,●,,部活動改革,北九州市では、どのようなスケジュールで休日の学校部活動を地域クラブに展開しようとしているのですか。,「北九州市部活動地域展開推進計画」（令和７年５月）に基づき、学校部活動を行わない日を、令和７年９月からは第1土曜日と翌日曜日、令和８年９月からは第1・第３土曜日と翌日曜日と段階的に拡大し、令和９年９月からは、祝日も含む全ての休日で学校部活動は行わないことになります。これらの学校部活動を行わない休日については、生徒の希望にも応じ、地域クラブ活動を行います。
5,●,,●,●,,部活動改革,部活動の地域展開により、学校部活動の良さが失われてしまいませんか。,部活動の地域展開は、人間関係の構築促進など学校部活動が持つ教育的意義を引き継ぎつつ、生徒の活動をまち全体で支えることで新たな価値を創出し、より豊かで幅広い活動を実現することを目指すものです。「新たな価値」としては、学校部活動ではできなかった多種多様な体験、学校や世代を超えた交流、適切な資質・能力を備えた指導者による良質な指導等があります。
6,●,,●,●,●,地域クラブ活動,地域クラブ活動とは何ですか。学校部活動や民間のクラブとは何が異なるのですか。,"地域クラブ活動は、学校以外の多様な主体が、学校部活動に準じた活動時間の設定など、市のガイドラインを遵守して実施する活動です。活動にあたり、地域クラブは教育委員会の認定を受けます。人間関係の構築促進など学校部活動が持つ意義を引き継ぎつつ、生徒の活動をまち全体で支えることで新たな価値を創出し、豊かで幅広い活動を実現することを目指しています。
学校以外の主体が実施する点で学校部活動とは異なり、教育委員会の認定を受けた活動など、公的な性質を有する点で民間のクラブとは異なります。なお、民間のクラブも、教育委員会の認定を受けることにより、地域クラブ活動を実施することができます。"
7,●,,●,●,●,地域クラブ活動,地域クラブ活動はどのような主体が実施するのですか。また、どのような人が指導者となるのですか。,地域クラブ活動を行うことを希望する、学校以外の多様な主体（団体等）が、教育委員会の認定を受けた上で実施主体となります。例えば、いわゆる非営利団体、（学校部活動の）保護者会、競技団体等が考えられます。また、指導者については、自身の経験や知識を生かし、生徒のスポーツ・文化芸術活動をサポートすることに意欲を持つ方々が、教育委員会の研修会を受講した上で、地域クラブ活動の指導者となります。市立学校の教員も、教育委員会の研修受講および兼業兼職の手続きを行うことにより、地域クラブの指導者となることができます。
8,●,,●,●,●,地域クラブ活動,地域クラブ活動はいつ、どこで行われるのですか。,学校部活動が段階的に行われなくなっていく土日・休日を主たる活動日として想定しています。なお、平日に地域クラブ活動を行うことも可能です。また、活動場所については、学校その他の公共施設や民間の施設が想定されますが、学校施設については地域クラブが優先的に利用することができます。
9,●,,●,●,●,地域クラブ活動,地域クラブ活動に参加したいのですが、費用はかかりますか。,地域クラブ活動の実施に伴う事務費、指導者の報酬、物品購入費、消耗品費等に充てるため、一定の会費を支払っていただくことになります（受益者負担）。ただし、「北九州市学校部活動及び地域クラブ活動の在り方に関する総合的なガイドライン」（令和７年６月。以下「市ガイドライン」という。）に記載のとおり、地域クラブは「可能な限り低廉な会費等を設定する」こととしています。市のＨＰ（地域クラブ一覧）でそれぞれのクラブの会費を確認してください。
10,●,,●,●,●,地域クラブ活動,地域クラブ活動中に事故やケガがあった場合、どのような対応になるのですか。事故やケガに伴う医療費等の補償はあるのですか。,地域クラブ活動中の事故やケガについては、まず実施主体である地域クラブが対応します。地域クラブ活動は学校管理下の活動ではないため、日本スポーツ振興センターの災害共済給付の適用外ですが、市ガイドラインに基づき、地域クラブ活動の参加者は、災害共済給付と同等の補償となるスポーツ安全保険などの保険に加入することになります。なお、地域クラブ活動の指導者は、生徒の心身の健康管理、事故防止、体罰及びハラスメントの防止、生徒理解など、指導者としての基本的な資質・知識を身につけるための「指導者研修会」の受講が義務付けられています。
